STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00054388,"JOHN MARTIN DAM, CO US",2/1/09,0,67,19
USC00054388,"JOHN MARTIN DAM, CO US",2/2/09,0,44,12
USC00054388,"JOHN MARTIN DAM, CO US",2/3/09,0,56,15
USC00054388,"JOHN MARTIN DAM, CO US",2/4/09,0,61,21
USC00054388,"JOHN MARTIN DAM, CO US",2/5/09,0,67,21
USC00054388,"JOHN MARTIN DAM, CO US",2/6/09,0,69,25
USC00054388,"JOHN MARTIN DAM, CO US",2/7/09,0,67,28
USC00054388,"JOHN MARTIN DAM, CO US",2/8/09,0,60,25
USC00054388,"JOHN MARTIN DAM, CO US",2/9/09,0.54,46,34
USC00054388,"JOHN MARTIN DAM, CO US",2/10/09,0,60,27
USC00054388,"JOHN MARTIN DAM, CO US",2/11/09,0,55,25
USC00054388,"JOHN MARTIN DAM, CO US",2/12/09,0,56,23
USC00054388,"JOHN MARTIN DAM, CO US",2/13/09,0,49,26
USC00054388,"JOHN MARTIN DAM, CO US",2/14/09,0,38,22
USC00054388,"JOHN MARTIN DAM, CO US",2/15/09,0,46,12
USC00054388,"JOHN MARTIN DAM, CO US",2/16/09,0,44,15
USC00054388,"JOHN MARTIN DAM, CO US",2/17/09,0,63,25
USC00054388,"JOHN MARTIN DAM, CO US",2/18/09,0,63,21
USC00054388,"JOHN MARTIN DAM, CO US",2/19/09,0,55,23
USC00054388,"JOHN MARTIN DAM, CO US",2/20/09,0,53,20
USC00054388,"JOHN MARTIN DAM, CO US",2/21/09,0,64,20
USC00054388,"JOHN MARTIN DAM, CO US",2/22/09,0,50,22
USC00054388,"JOHN MARTIN DAM, CO US",2/23/09,0,57,21
USC00054388,"JOHN MARTIN DAM, CO US",2/24/09,0,59,21
USC00054388,"JOHN MARTIN DAM, CO US",2/25/09,0,75,31
USC00054388,"JOHN MARTIN DAM, CO US",2/26/09,0,70,35
USC00054388,"JOHN MARTIN DAM, CO US",2/27/09,0,68,19
USC00054388,"JOHN MARTIN DAM, CO US",2/28/09,0,55,21
USC00054388,"JOHN MARTIN DAM, CO US",3/1/09,0,50,14
USC00054388,"JOHN MARTIN DAM, CO US",3/2/09,0,63,20
USC00054388,"JOHN MARTIN DAM, CO US",3/3/09,0,74,29
USC00054388,"JOHN MARTIN DAM, CO US",3/4/09,0,77,34
USC00054388,"JOHN MARTIN DAM, CO US",3/5/09,0,82,43
USC00054388,"JOHN MARTIN DAM, CO US",3/6/09,0,74,22
USC00054388,"JOHN MARTIN DAM, CO US",3/7/09,0,76,38
USC00054388,"JOHN MARTIN DAM, CO US",3/8/09,0,55,26
USC00054388,"JOHN MARTIN DAM, CO US",3/9/09,0,72,30
USC00054388,"JOHN MARTIN DAM, CO US",3/10/09,0,73,23
USC00054388,"JOHN MARTIN DAM, CO US",3/11/09,0,44,20
USC00054388,"JOHN MARTIN DAM, CO US",3/12/09,0,49,16
USC00054388,"JOHN MARTIN DAM, CO US",3/13/09,0,57,17
USC00054388,"JOHN MARTIN DAM, CO US",3/14/09,0,48,22
USC00054388,"JOHN MARTIN DAM, CO US",3/15/09,0,60,22
USC00054388,"JOHN MARTIN DAM, CO US",3/16/09,0,71,24
USC00054388,"JOHN MARTIN DAM, CO US",3/17/09,0,76,17
USC00054388,"JOHN MARTIN DAM, CO US",3/18/09,0,80,31
USC00054388,"JOHN MARTIN DAM, CO US",3/19/09,0,64,31
USC00054388,"JOHN MARTIN DAM, CO US",3/20/09,0,63,35
USC00054388,"JOHN MARTIN DAM, CO US",3/21/09,0,68,35
USC00054388,"JOHN MARTIN DAM, CO US",3/22/09,0,72,37
USC00054388,"JOHN MARTIN DAM, CO US",3/23/09,0,83,50
USC00054388,"JOHN MARTIN DAM, CO US",3/24/09,0,69,29
USC00054388,"JOHN MARTIN DAM, CO US",3/25/09,0,57,31
USC00054388,"JOHN MARTIN DAM, CO US",3/26/09,0,60,27
USC00054388,"JOHN MARTIN DAM, CO US",3/27/09,1.9,48,18
USC00054388,"JOHN MARTIN DAM, CO US",3/28/09,1.1,28,11
USC00054388,"JOHN MARTIN DAM, CO US",3/29/09,0,48,14
USC00054388,"JOHN MARTIN DAM, CO US",3/30/09,0,53,27
USC00054388,"JOHN MARTIN DAM, CO US",3/31/09,0,44,23
USC00054388,"JOHN MARTIN DAM, CO US",4/1/09,0,53,23
USC00054388,"JOHN MARTIN DAM, CO US",4/2/09,0.1,61,27
USC00054388,"JOHN MARTIN DAM, CO US",4/3/09,0,55,27
USC00054388,"JOHN MARTIN DAM, CO US",4/4/09,0,74,30
USC00054388,"JOHN MARTIN DAM, CO US",4/5/09,0,42,26
USC00054388,"JOHN MARTIN DAM, CO US",4/6/09,0,43,21
USC00054388,"JOHN MARTIN DAM, CO US",4/7/09,0,54,21
USC00054388,"JOHN MARTIN DAM, CO US",4/8/09,0,74,26
USC00054388,"JOHN MARTIN DAM, CO US",4/9/09,0,78,32
USC00054388,"JOHN MARTIN DAM, CO US",4/10/09,0,55,35
USC00054388,"JOHN MARTIN DAM, CO US",4/11/09,0,55,35
USC00054388,"JOHN MARTIN DAM, CO US",4/12/09,0,55,39
USC00054388,"JOHN MARTIN DAM, CO US",4/13/09,0.54,40,37
USC00054388,"JOHN MARTIN DAM, CO US",4/14/09,0,69,38
USC00054388,"JOHN MARTIN DAM, CO US",4/15/09,0,76,42
USC00054388,"JOHN MARTIN DAM, CO US",4/16/09,0,76,48
USC00054388,"JOHN MARTIN DAM, CO US",4/17/09,1.09,70,43
USC00054388,"JOHN MARTIN DAM, CO US",4/18/09,0.1,60,38
USC00054388,"JOHN MARTIN DAM, CO US",4/19/09,0.05,57,39
USC00054388,"JOHN MARTIN DAM, CO US",4/20/09,0,66,43
USC00054388,"JOHN MARTIN DAM, CO US",4/21/09,0,90,42
USC00054388,"JOHN MARTIN DAM, CO US",4/22/09,0,80,45
USC00054388,"JOHN MARTIN DAM, CO US",4/23/09,0,82,43
USC00054388,"JOHN MARTIN DAM, CO US",4/24/09,0,86,48
USC00054388,"JOHN MARTIN DAM, CO US",4/25/09,0,87,40
USC00054388,"JOHN MARTIN DAM, CO US",4/26/09,0,58,40
USC00054388,"JOHN MARTIN DAM, CO US",4/27/09,0.01,74,41
USC00054388,"JOHN MARTIN DAM, CO US",4/28/09,0,57,41
USC00054388,"JOHN MARTIN DAM, CO US",4/29/09,0,71,44
USC00054388,"JOHN MARTIN DAM, CO US",4/30/09,0,85,50
USC00054388,"JOHN MARTIN DAM, CO US",5/1/09,0,66,50
USC00054388,"JOHN MARTIN DAM, CO US",5/2/09,0,51,41
USC00054388,"JOHN MARTIN DAM, CO US",5/3/09,0,50,42
USC00054388,"JOHN MARTIN DAM, CO US",5/4/09,0.02,62,46
USC00054388,"JOHN MARTIN DAM, CO US",5/5/09,0,79,48
USC00054388,"JOHN MARTIN DAM, CO US",5/6/09,0,80,45
USC00054388,"JOHN MARTIN DAM, CO US",5/7/09,0,84,47
USC00054388,"JOHN MARTIN DAM, CO US",5/8/09,0,85,49
USC00054388,"JOHN MARTIN DAM, CO US",5/9/09,0,72,51
USC00054388,"JOHN MARTIN DAM, CO US",5/10/09,0,69,43
USC00054388,"JOHN MARTIN DAM, CO US",5/11/09,0,59,43
USC00054388,"JOHN MARTIN DAM, CO US",5/12/09,0,72,46
USC00054388,"JOHN MARTIN DAM, CO US",5/13/09,0,90,46
