"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-01","0.00","47","22","26"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-02","0.00","46","25","26"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-03","0.00","51","25","33"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-04","0.35","33","12","12"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-05","0.06","19","10","13"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-06","0.12","29","10","15"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-07","0.03","26","15","26"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-08","0.00","41","22","23"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-09","0.02","48","22","25"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-10","0.33","26","10","10"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-11","0.00","29","10","13"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-12","0.00","31","12","23"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-13","0.00","31","17","18"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-14","0.00","37","16","19"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-15","0.00","40","19","23"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-16","0.00","39","16","16"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-17","0.00","42","15","17"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-18","0.00","39","14","17"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-19","0.00","44","15","19"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-20","0.00","43","17","17"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-21","0.00","50","17","23"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-22","0.00","51","22","35"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-23","0.11","48","34","35"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-24","0.17","40","33","34"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-25","0.03","46","30","33"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-26","0.01","44","28","28"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-27","0.10","33","15","16"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-28","0.05","19","7","19"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-29","0.00","30","17","17"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-30","0.00","30","16","18"
"USC00056205","OURAY NUMBER 2, CO US","2009-01-31","0.00","39","17","21"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-01","0.00","44","20","25"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-02","0.00","36","16","17"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-03","0.00","40","16","23"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-04","0.00","44","20","23"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-05","0.00","48","22","27"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-06","0.00","55","27","40"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-07","0.00","47","31","37"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-08","0.00","53","37","39"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-09","0.10","47","22","24"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-10","0.32","37","22","22"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-11","0.14","24","11","11"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-12","0.00","33","11","16"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-13","0.09","39","15","15"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-14","0.00","33","14","23"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-15","0.00","34","13","13"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-16","0.00","37","12","35"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-17","0.04","46","27","27"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-18","0.00","38","21","23"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-19","0.01","32","15","15"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-20","0.00","36","15","17"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-21","0.00","46","15","20"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-22","0.00","44","20","29"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-23","0.08","53","29","38"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-24","0.57","45","31","31"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-25","0.00","55","31","36"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-26","0.00","54","28","29"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-27","0.00","51","27","29"
"USC00056205","OURAY NUMBER 2, CO US","2009-02-28","0.00","42","14","14"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-01","0.00","42","14","28"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-02","0.00","57","28","35"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-03","0.00","63","35","42"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-04","0.00","56","42","46"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-05","0.00","58","36","36"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-06","0.00","51","36","38"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-07","0.00","51","28","28"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-08","0.03","34","18","18"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-09","0.00","52","17","38"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-10","0.15","47","21","21"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-11","0.04","34","17","23"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-12","0.00","47","22","31"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-13","0.02","47","29","29"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-14","0.00","45","24","24"
"USC00056205","OURAY NUMBER 2, CO US","2009-03-15","0.00","46","24","26"
