STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/1/09,0,,65,24
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/2/09,0,,65,28
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/3/09,0,,58,23
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/4/09,0.02,,24,16
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/5/09,0,,50,6
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/6/09,0,,49,15
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/7/09,0,,64,34
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/8/09,0,,69,34
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/9/09,0,,50,19
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/10/09,0,,49,9
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/11/09,0,,46,13
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/12/09,0,,44,13
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/13/09,0,,60,7
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/14/09,0,,48,15
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/15/09,0,,36,15
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/16/09,0,,62,15
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/17/09,0,,60,15
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/18/09,0,,66,15
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/19/09,0,,72,27
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/20/09,0,,70,25
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/21/09,0,,75,14
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/22/09,0,,74,33
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/23/09,0,,52,20
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/24/09,0,,35,17
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/25/09,0,,22,8
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/26/09,0.02,,17,7
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/27/09,0,,22,0
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/28/09,0,,52,5
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",1/29/09,0,,49,9
