MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20240227,CO,63.34,36.66,10.68,3.52,0.00,0.00,2024-02-27,2024-03-04,1
20240220,CO,63.34,36.66,10.68,3.52,0.00,0.00,2024-02-20,2024-02-26,1
20240213,CO,63.20,36.80,11.65,3.52,0.00,0.00,2024-02-13,2024-02-19,1
20240206,CO,59.57,40.43,20.56,5.21,1.95,0.00,2024-02-06,2024-02-12,1
20240130,CO,41.97,58.03,27.83,6.69,2.05,0.00,2024-01-30,2024-02-05,1
20240123,CO,39.26,60.74,27.83,6.69,2.05,0.00,2024-01-23,2024-01-29,1
20240116,CO,38.12,61.88,27.83,6.72,2.05,0.00,2024-01-16,2024-01-22,1
20240109,CO,33.39,66.61,30.08,9.78,2.05,0.00,2024-01-09,2024-01-15,1
20240102,CO,34.65,65.35,29.59,8.85,2.05,0.00,2024-01-02,2024-01-08,1
20231226,CO,36.69,63.31,25.85,8.85,2.05,0.00,2023-12-26,2024-01-01,1
20231219,CO,35.09,64.91,26.18,8.85,2.05,0.00,2023-12-19,2023-12-25,1
20231212,CO,36.08,63.92,25.86,8.85,2.05,0.00,2023-12-12,2023-12-18,1
20231205,CO,31.72,68.28,26.91,7.32,2.05,0.00,2023-12-05,2023-12-11,1
20231128,CO,32.94,67.06,27.27,8.32,2.05,0.00,2023-11-28,2023-12-04,1
20231121,CO,43.02,56.98,26.90,6.88,1.31,0.00,2023-11-21,2023-11-27,1
20231114,CO,47.66,52.34,26.90,6.87,1.31,0.00,2023-11-14,2023-11-20,1
20231107,CO,54.26,45.74,26.78,6.48,0.00,0.00,2023-11-07,2023-11-13,1
20231031,CO,58.00,42.00,21.66,3.73,0.00,0.00,2023-10-31,2023-11-06,1
20231024,CO,57.87,42.13,22.23,4.43,0.00,0.00,2023-10-24,2023-10-30,1
20231017,CO,60.67,39.33,20.05,4.43,0.00,0.00,2023-10-17,2023-10-23,1
20231010,CO,59.01,40.99,21.07,4.43,0.00,0.00,2023-10-10,2023-10-16,1
20231003,CO,62.37,37.63,20.14,3.54,0.00,0.00,2023-10-03,2023-10-09,1
